month,cases,temp,rain,humidity,WindSpeed
2013-11-01,24560,24.447962675044884,32172.9386,73.30852063734291,3.540258445258446
2013-12-01,33322,25.39162838420108,62404.6548,75.87371563435069,3.2066788766788767
2014-01-01,54903,25.50197851885099,28065.7484,73.5793774416517,3.147991452991453
2014-02-01,81058,25.36805984290844,34096.4245,73.48430387791741,3.2764550264550265
2014-03-01,162266,24.4903939497307,44573.6065,78.80768583482944,3.083013838013838
2014-04-01,211451,23.26333339317774,28569.4632,78.86292126570916,2.966424501424501
2014-05-01,154234,21.873133070017957,19667.1998,77.36131815529623,2.963581603581604
2014-06-01,85264,21.47345441292639,25095.8887,74.43527728186714,3.355677655677656
2014-07-01,38020,20.77009364901257,15355.743,72.62905309694794,3.5056105006105005
2014-08-01,36474,22.233526926391384,11017.8377,65.56738912028726,3.53015059015059
2014-09-01,32119,23.72557824955117,19017.7285,66.5632617594255,3.764010989010989
2014-10-01,32628,24.94308801166966,15803.7299,65.46297909335728,3.588882783882784
2014-11-01,40908,24.601470140035907,42915.7732,73.5686511956912,3.3861233211233213
2014-12-01,26604,25.289619314183124,45915.5947,75.04057676481149,3.394417989417989
2015-01-01,110813,25.91909166517056,26778.926,71.89823518850987,3.1443589743589744
2015-02-01,247020,25.080552719928185,44836.6501,77.74888805655296,3.1259869759869763
2015-03-01,604359,24.52042447037702,48844.3444,79.30060866068223,2.858119658119658
2015-04-01,514055,23.67363428635548,25854.749,79.08851468132855,2.8475702075702074
2015-05-01,372869,22.17835753321365,26216.8251,78.85343627648115,3.1904843304843307
2015-06-01,118717,21.27193241472172,17968.7159,75.42729323608619,3.366713471713472
2015-07-01,60939,21.40299197037702,19913.9395,74.59651786355477,3.536780626780627
2015-08-01,52482,22.972541946140037,8943.0458,65.53925884380611,3.740537240537241
2015-09-01,38330,24.393532450628367,23955.6505,66.64422827648114,3.62943833943834
2015-10-01,43210,25.249847710951524,21670.5931,67.52815621633752,3.7377920227920223
2015-11-01,112954,25.447923436265707,45698.6441,73.08756357989228,3.428986568986569
2015-12-01,128089,25.912905906642727,49902.2759,74.53450596050268,3.434692714692715
2016-01-01,409588,25.16636505565529,73777.1676,79.84564202513465,3.2248595848595847
2016-02-01,563112,25.740524263913827,36189.8083,77.2378820870736,3.1344179894179898
2016-03-01,491339,25.2497024102334,35106.0768,77.59904074955116,3.019240944240944
2016-04-01,359448,25.02242846050269,19243.145,72.95324363105925,3.152118437118437
2016-05-01,164922,22.0522288043088,24491.4614,76.7393463411131,3.032071632071632
2016-06-01,49897,20.318563788150808,9767.9566,73.40765993267505,3.232926332926333
2016-07-01,35807,21.38830067504488,9945.4609,67.23139458527828,3.416037851037851
2016-08-01,21399,22.338849838420103,14351.6481,66.96899814183124,3.566457061457061
2016-09-01,18930,23.251285583482943,11252.35,65.56478198833034,3.5105901505901507
2016-10-01,28140,24.426933931777377,31581.6071,69.61183901256733,3.643899063899064
2016-11-01,29630,24.768652347396767,31495.0773,72.2731668940754,3.477315832315832
2016-12-01,46659,25.337581781867144,36637.7811,74.80894810143627,3.302842897842898
2017-01-01,71391,25.548879005385995,49697.4863,75.86445146499103,3.1418579568579568
2017-02-01,66084,25.39342967235188,42224.32,77.63216652154398,3.088884818884819
2017-03-01,74328,24.672863572710952,32736.9479,77.44515602333932,3.060309320309321
2017-04-01,86173,23.47504728545781,32705.5029,77.95520282944345,3.0868050468050465
2017-05-01,54831,22.580267414721725,30317.3611,78.75487175493717,3.1983251933251933
2017-06-01,33442,21.408045610412927,15516.0646,74.17235705116697,3.3617684167684168
2017-07-01,23227,20.50087777737881,9097.1842,68.130840502693,3.663410663410664
2017-08-01,16685,22.465091934470376,9975.02,66.38850244165171,3.697741147741148
2017-09-01,19818,24.102832405745065,9893.992,61.34390004937163,3.9348880748880752
2017-10-01,26465,24.63171227648115,28325.832,67.6496777091562,3.878058608058608
2017-11-01,22077,24.333076597845604,34387.5754,73.11597561041292,3.463408628408628
2017-12-01,32859,25.291500044883303,60268.2588,76.1053876481149,3.202295482295482
2018-01-01,43066,25.061898864452424,39400.6421,76.28238915619389,3.2023667073667075
2018-02-01,47300,24.61388786355476,46284.8481,79.00651145421904,2.950466015466016
2018-03-01,58398,25.050715754039494,36390.0787,79.30605253141832,3.0176007326007324
2018-04-01,87289,23.78299313464991,29596.6267,77.4132932064632,2.8802462352462355
2018-05-01,50995,21.853806373429084,15131.1957,75.0984137701975,3.1372669922669925
2018-06-01,32491,21.15164848743268,11697.6108,74.12899198833034,3.3068131868131867
2018-07-01,27876,21.342863339317773,12950.7385,69.27973479712746,3.4425803825803825
2018-08-01,18030,21.70604789048474,10639.8387,68.64535846947936,3.4745360195360195
2018-09-01,20266,23.76124882226212,21392.4886,68.80620631597846,3.498907203907204
2018-10-01,19959,24.514518649012565,28386.3281,73.64003055655296,3.4498107448107445
2018-11-01,27948,24.64496622082585,36962.5943,74.69527107271095,3.471695156695157
2018-12-01,57595,25.355164174147216,51025.6178,75.20933707660085,3.172110297110297
2019-01-01,106448,26.08347254937163,27301.7924,73.77204743267505,3.1656919006919004
2019-02-01,189768,25.20290793536804,51203.2299,78.60511020197487,2.9345380545380544
2019-03-01,410408,24.776704046678635,53066.5704,79.90737980969479,3.050952380952381
2019-04-01,501084,24.214028388689407,29042.2279,80.60557788150808,2.829619454619454
2019-05-01,479469,23.05275295780969,24786.3892,78.7258923518851,3.014208384208384
2019-06-01,243024,21.83491196050269,13840.0659,72.50239337881509,3.322006512006512
2019-07-01,75798,20.78000250448833,8272.2915,69.1967541876122,3.4745889295889296
2019-08-01,49167,21.9366284470377,7413.1139,66.31244869389587,3.7204843304843305
2019-09-01,51737,24.31677638420108,15751.734,64.89036132854578,3.6643264143264154
2019-10-01,39181,25.22228027827648,16140.6853,68.01046805655297,3.4255250305250304
2019-11-01,45048,25.076186198384203,29111.6799,69.68187527378815,3.3215099715099714
2019-12-01,65473,25.26142223219629,51974.0149,71.9625013764213,3.303056573056573
2020-01-01,118701,25.287543473967684,45779.982,76.18077350987433,3.1106919006919007
2020-02-01,209032,24.77115144075404,48163.1174,78.10647859066428,3.0824358974358974
2020-03-01,240782,24.48347240574506,47231.0395,76.44613779174148,2.8246845746845746
2020-04-01,151870,22.805427796229804,26164.9743,76.17235969928187,2.996961741961742
2020-05-01,111696,20.99895794614004,24751.9349,76.67107010771994,3.174920634920635
2020-06-01,45576,21.07821392280072,14504.2714,74.70776457360861,3.3353540903540906
2020-07-01,25335,20.921252060143622,10590.9462,69.78615644075404,3.4713166463166463
2020-08-01,16692,21.77578395332137,12507.5218,64.84254573070018,3.674287749287749
2020-09-01,10091,24.54605581238779,9141.7184,60.41740252692998,3.589981684981685
2020-10-01,8352,24.750601126570917,18987.3267,66.26651870287253,3.5047700447700447
2020-11-01,13968,24.492598039497302,33984.6861,70.31362962657091,3.2395217745217746
2020-12-01,10081,24.93159052064632,40993.3189,73.08072946140037,3.244141229141229
2021-01-01,36372,25.03499619389587,45504.1863,74.82237498743267,3.215327635327636
2021-02-01,56081,24.27953709156194,46006.4299,77.31838963644525,3.0364082214082213
2021-03-01,77289,24.47336222172352,26792.55,75.2794203096948,2.855734635734636
2021-04-01,101375,23.04117723070018,19017.6056,74.60223567324955,3.0078164428164427
2021-05-01,89894,21.65939232675045,16212.2807,73.43455149371633,3.0544505494505496
2021-06-01,42543,20.15706750897666,14167.9183,74.00738482495511,3.143125763125763
2021-07-01,25540,20.04359973070018,6239.4197,65.31817326750449,3.332395197395197
2021-08-01,20459,22.227483727109515,9505.3627,63.81991722082586,3.5531908831908834
2021-09-01,13017,24.55048189856373,13138.3562,63.89204992369838,3.5265242165242165
2021-10-01,14924,24.066720642728903,39558.9329,71.98613477199281,3.413380138380138
2021-11-01,23561,24.413459286355472,31507.3702,72.52170830341113,3.20483312983313
2021-12-01,27835,24.739224962298028,54836.8293,74.88566158348294,3.1466829466829465
2022-01-01,66933,24.947988710951527,58021.3905,77.3268262405745,3.104214489214489
2022-02-01,95563,25.031440004488328,34960.3292,75.65993798922801,2.9487057387057387
2022-03-01,246793,24.24375458258528,41263.1647,78.46784611310592,3.0411111111111118
2022-04-01,368725,23.544433177737883,26949.3414,76.7325503545781,3.0456410256410256
2022-05-01,333399,20.93055216876122,28302.7958,76.2709911956912,3.1152849002849003
2022-06-01,97036,20.20204246409336,13955.5996,74.78480473070019,3.1175498575498573
2022-07-01,59570,21.488487500897666,10177.5617,68.30854918132854,3.4555636955636952
2022-08-01,27843,20.997352387791743,12923.124,65.84233938061041,3.64003256003256
2022-09-01,21150,22.27349491921005,17324.8833,67.58451784560144,3.6285612535612537
2022-10-01,23892,23.503082423698388,30866.3858,69.36971947217235,3.4944607244607244
2022-11-01,20782,23.791720852782763,33609.1488,72.38819041741472,3.290392755392755
2022-12-01,21956,24.25068236086176,43464.3447,76.50807504039497,3.235862840862841
2023-01-01,96007,24.488672071813287,55593.4506,77.7247092675045,3.0456634106634106
2023-02-01,171261,24.72349061490125,35388.0271,76.68203778725315,2.981766381766381
2023-03-01,335081,24.540542338420103,38852.129,77.94432125224417,2.845801790801791
2023-04-01,503185,23.149875590664276,34317.3603,79.15744560143627,2.815160765160765
2023-05-01,247471,21.712108774685817,10694.2463,76.30109721274685,2.965868945868946
2023-06-01,95678,20.654401193895872,14510.0281,75.18478016606822,3.148781033781034
2023-07-01,51060,21.256323357271093,11727.7015,70.31966485816876,3.455343915343916
2023-08-01,27007,22.636772912926396,10999.4352,68.18355201077199,3.4300915750915757
2023-09-01,24883,24.56616853231598,13535.744,65.97341992369839,3.7598575498575495
2023-10-01,35484,24.904188768402157,39037.9603,70.38017430879712,3.586155881155881
2023-11-01,52251,25.94163102333932,24092.9488,67.94276953770198,3.5042633292633294
2023-12-01,135117,25.613027710951528,48210.3084,73.08616665769,3.26539479039479
2024-01-01,473754,25.42141799371634,38325.5447,76.16573226660682,3.1531847781847784
2024-02-01,1160774,25.53709957809695,45400.8317,78.65716764811489,2.995722425722425
2024-03-01,1978551,25.38419253141831,47674.8953,79.51969296947937,2.8704375254375254
2024-04-01,1341391,24.42636112657092,33269.1052,79.21238751346499,2.932311762311762
2024-05-01,702235,22.519072805206463,17520.2685,75.95278475763016,3.298343508343508
2024-06-01,20126,22.386371750448838,3738.8916,73.11534411131059,3.3635999185999186
